county,school_type,employment_body,teachers,centroid,year
Garissa        ,Public ,SMC    ,80,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Public ,SMC    ,1566,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Public ,SMC    ,31,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Public ,SMC    ,210,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Public ,SMC    ,2139,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Public ,SMC    ,1119,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Public ,SMC    ,882,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Public ,SMC    ,893,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Public ,SMC    ,508,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Public ,SMC    ,1283,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Public ,SMC    ,1062,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Public ,SMC    ,1544,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Public ,SMC    ,414,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Public ,SMC    ,289,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Public ,SMC    ,85,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
Machakos       ,Public ,SMC    ,1405,"(-1.279512, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Public ,SMC    ,1449,"(-2.157684, 37.788246)",12/31/2014 12:00:00 AM
Mandera        ,Public ,SMC    ,104,"(3.436469, 40.73881)",12/31/2014 12:00:00 AM
Marsabit       ,Public ,SMC    ,50,"(2.978659, 37.569536)",12/31/2014 12:00:00 AM
Meru           ,Public ,SMC    ,1470,"(0.166779, 37.764037)",12/31/2014 12:00:00 AM
Migori         ,Public ,SMC    ,1375,"(-0.989537, 34.363345)",12/31/2014 12:00:00 AM
Mombasa        ,Public ,SMC    ,175,"(-4.021256, 39.650883)",12/31/2014 12:00:00 AM
Muranga        ,Public ,SMC    ,951,"(-0.809591, 37.032723)",12/31/2014 12:00:00 AM
Nairobi        ,Public ,SMC    ,416,"(-1.293413, 36.868189)",12/31/2014 12:00:00 AM
Nakuru         ,Public ,SMC    ,1387,"(-0.463675, 36.078479)",12/31/2014 12:00:00 AM
Nandi          ,Public ,SMC    ,1170,"(0.186689, 35.110488)",12/31/2014 12:00:00 AM
Narok          ,Public ,SMC    ,472,"(-1.25479, 35.576329)",12/31/2014 12:00:00 AM
Nyamira        ,Public ,SMC    ,668,"(-0.642732, 34.96466)",12/31/2014 12:00:00 AM
Nyandarua      ,Public ,SMC    ,644,"(-0.322078, 36.482869)",12/31/2014 12:00:00 AM
Nyeri          ,Public ,SMC    ,640,"(-0.342924, 36.956478)",12/31/2014 12:00:00 AM
Samburu        ,Public ,SMC    ,42,"(1.316855, 37.118394)",12/31/2014 12:00:00 AM
Siaya          ,Public ,SMC    ,1196,"(-0.06213, 34.247642)",12/31/2014 12:00:00 AM
Taita Taveta   ,Public ,SMC    ,300,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Public ,SMC    ,75,"(-1.526367, 39.417869)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Public ,SMC    ,601,"(-0.207061, 37.870297)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Public ,SMC    ,971,"(1.050955, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Public ,SMC    ,144,"(3.424849, 35.435758)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Public ,SMC    ,766,"(0.526086, 35.322012)",12/31/2014 12:00:00 AM
Vihiga         ,Public ,SMC    ,863,"(0.076266, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Public ,SMC    ,68,"(1.808138, 40.034986)",12/31/2014 12:00:00 AM
West Pokot     ,Public ,SMC    ,368,"(1.740106, 35.243847)",12/31/2014 12:00:00 AM
Kenya          ,Public ,SMC    ,35524,,12/31/2014 12:00:00 AM
